# Accepted measurements
gate,x,y,z
1,0.3387,0.8085,1.1433
1,0.4147,0.5992,1.1811
1,0.3222,0.6951,1.1596
1,0.4059,0.8898,1.1659
1,0.4496,0.7891,1.1822
1,0.5034,0.7085,1.2093
2,-0.7239,0.7404,1.3202
2,-0.7785,0.7799,1.3492
2,-0.7622,0.8473,1.3545
2,-0.7258,0.7925,1.3498
2,-0.7522,0.854,1.3375
3,-1.483,0.0034,1.4008
3,-1.564,-0.0287,1.4081
3,-1.613,-0.04,1.3996
3,-1.6761,-0.0305,1.4286
3,-1.492,-0.0562,1.4058

# Final Kalman estimates
gate,x,y,z,theta,width,height
1,0.4215,0.7999,1.175,-0.1792,0.5443,0.3875
2,-0.7565,0.8362,1.3458,0.5017,0.2313,0.394
3,-1.5808,-0.0371,1.4101,1.3837,0.365,0.3929
