# Accepted measurements
gate,x,y,z
1,0.1045,0.6622,1.0407
1,0.0747,0.8887,1.0327
1,0.3386,0.9501,1.1382
1,0.4786,0.8394,1.18
1,0.4637,0.7437,1.201
1,0.5167,0.699,1.2145
1,0.5629,0.722,1.2216
2,-0.8112,0.8355,1.3634

# Final Kalman estimates
gate,x,y,z,theta,width,height
1,0.3815,0.7928,1.1546,-0.3545,0.5551,0.3927
2,-0.8112,0.8355,1.3634,0.5396,0.29,0.4
