# Accepted measurements
gate,x,y,z
1,0.5431,0.6784,1.1712
1,0.5595,0.6775,1.1778
1,0.5931,0.7451,1.2014
1,0.6,0.751,1.1947
1,0.6091,0.7418,1.2124
2,-0.6033,0.7461,1.323
2,-0.7559,0.6132,1.3481
2,-1.0182,0.6873,1.4222
2,-1.0199,0.8002,1.3869
2,-1.6435,-0.0644,1.401
2,-1.0236,0.5673,1.4092
3,-1.4779,-0.0538,1.4274
3,-1.6058,-0.0326,1.4315
3,-1.667,0.0104,1.4182
3,-1.5124,-0.0395,1.4272
3,-1.4972,-0.0732,1.415
4,-0.2609,-0.9874,1.2282
4,-0.2744,-1.041,1.2377
4,-0.2828,-1.0645,1.23
4,-0.2725,-1.1199,1.2291
4,-0.288,-0.9538,1.239
5,0.3205,-1.0426,1.3762
5,0.4449,-1.0761,1.2658
5,0.4574,-1.0255,1.3161
5,0.479,-1.0418,1.291
5,0.4602,-1.0171,1.2949

# Final Kalman estimates
gate,x,y,z,theta,width,height
1,0.5917,0.7303,1.1975,-0.5331,0.4695,0.3995
2,-0.9974,0.6236,1.3934,0.4611,0.294,0.3982
3,-1.5247,-0.0497,1.4216,1.5997,0.3992,0.3998
4,-0.2822,-0.998,1.2359,-2.7698,0.5511,0.3992
5,0.4642,-1.0326,1.294,-2.6369,0.2752,0.3997
