# Accepted measurements
gate,x,y,z
1,0.7093,-0.7913,1.288
1,0.7135,-0.8737,1.2638
1,0.6905,-0.782,1.2985
1,0.7219,-0.873,1.2755
1,0.6825,-0.7506,1.253
2,1.4806,-0.7434,1.3167
2,1.5644,-0.9362,1.3226
2,1.5154,-0.7811,1.2957
2,1.4831,-0.7278,1.3099
2,1.5085,-0.7353,1.2822
2,1.4801,-0.7151,1.2612
3,2.0399,-0.1399,1.4063
3,2.1554,-0.1348,1.4319
3,2.238,-0.1155,1.4413
3,2.2875,-0.0762,1.447
3,2.2439,-0.0932,1.4288
4,1.6521,0.916,1.4395
4,1.6682,0.9579,1.4307
4,1.6805,0.9132,1.4144
4,1.6711,0.8964,1.4082
4,1.651,0.8822,1.4291
4,1.6415,0.8749,1.4271
4,1.6447,0.9241,1.4107
5,0.6216,0.8373,1.2784
5,0.6488,0.7861,1.2811
5,0.6676,0.7347,1.2887
5,0.5202,0.8175,1.3208
5,0.5647,0.8119,1.2934

# Final Kalman estimates
gate,x,y,z,theta,width,height
1,0.6907,-0.777,1.2632,2.9316,0.4787,0.3999
2,1.4954,-0.7398,1.2861,-2.5854,0.358,0.3947
3,2.223,-0.1062,1.4358,-1.0701,0.3976,0.3994
4,1.6583,0.9124,1.4255,-0.1852,0.2741,0.3915
5,0.6362,0.7713,1.289,0.7899,0.2702,0.3998
