timestamp,wall_time,event,state,frame_seq,image,x,y,z,roll,pitch,yaw,lighthouse_bs_visible,waypoint_x,waypoint_y,waypoint_z,waypoint_yaw,waypoint_max_speed_mps,detected_gates,gate_widths_m,gate_reprojection_errors_px,gate_world_centers_m,message
1779618573.8635807,1779618573.8635814,run_start,IDLE,,,,,,,,,,,,,,,,,,,save_dir=data/recordings/20260524_122933
1779618574.0671282,1779618575.6297653,frame,IDLE,1,img_000001.png,,,,,,,,,,,,,,,,,
1779618574.610309,1779618575.634821,frame,IDLE,2,img_000002.png,,,,,,,,,,,,,,,,,
1779618574.717965,1779618575.6393723,frame,IDLE,3,img_000003.png,,,,,,,,,,,,,,,,,
1779618575.6356828,1779618575.6480863,frame,IDLE,4,img_000004.png,,,,,,,,,,,,,,,,,
1779618575.6364405,1779618575.6503608,frame,IDLE,5,img_000005.png,,,,,,,,,,,,,,,,,
1779618575.9711041,1779618575.9747508,frame,IDLE,6,img_000006.png,,,,,,,,,,,,,,,,,
1779618575.9853005,1779618575.9868865,frame,IDLE,7,img_000007.png,,,,,,,,,,,,,,,,,
1779618576.4360228,1779618576.4385755,frame,IDLE,8,img_000008.png,,,,,,,,,,,,,,,,,
1779618576.8324194,1779618576.83343,frame,IDLE,9,img_000009.png,,,,,,,,,,,,,,,,,
1779618577.0526686,1779618577.0537536,frame,IDLE,10,img_000010.png,,,,,,,,,,,,,,,,,
1779618577.2985022,1779618577.3001544,frame,IDLE,11,img_000011.png,,,,,,,,,,,,,,,,,
1779618577.6782103,1779618577.6821392,frame,IDLE,12,img_000012.png,,,,,,,,,,,,,,,,,
1779618577.977143,1779618577.9801505,frame,IDLE,13,img_000013.png,,,,,,,,,,,,,,,,,
1779618578.4830296,1779618578.4873688,frame,IDLE,14,img_000014.png,,,,,,,,,,,,,,,,,
1779618578.6756217,1779618578.6858373,frame,IDLE,15,img_000015.png,,,,,,,,,,,,,,,,,
1779618579.000353,1779618579.0031147,frame,IDLE,16,img_000016.png,,,,,,,,,,,,,,,,,
