# Accepted measurements
gate,x,y,z
1,0.2393,0.8209,1.1419
1,0.2236,0.8642,1.131
1,0.3386,0.7946,1.1645
1,0.3981,0.7775,1.188
1,0.4538,0.7874,1.2041
2,-0.6806,0.5067,1.2985
2,-0.7155,0.7387,1.3983
2,-0.8693,0.9217,1.3594
2,-0.8042,0.9001,1.312
2,-0.783,0.7779,1.311

# Final Kalman estimates
gate,x,y,z,theta,width,height
1,0.395,0.7916,1.1861,-0.3834,0.5882,0.3963
2,-0.7881,0.8216,1.3214,0.4738,0.2572,0.3956
