timestamp,wall_time,event,state,frame_seq,image,x,y,z,roll,pitch,yaw,lighthouse_bs_visible,waypoint_x,waypoint_y,waypoint_z,waypoint_yaw,waypoint_max_speed_mps,detected_gates,gate_widths_m,gate_reprojection_errors_px,gate_world_centers_m,message
1779620299.2796795,1779620299.27968,run_start,IDLE,,,,,,,,,,,,,,,,,,,save_dir=data/recordings/20260524_125819
1779620299.637438,1779620299.6425447,frame,IDLE,1,img_000001.png,,,,,,,,,,,,,,,,,
1779620300.2014532,1779620300.2032845,frame,IDLE,2,img_000002.png,,,,,,,,,,,,,,,,,
1779620300.336836,1779620300.3382046,frame,IDLE,3,img_000003.png,,,,,,,,,,,,,,,,,
1779620300.6329846,1779620300.6344495,frame,IDLE,4,img_000004.png,,,,,,,,,,,,,,,,,
1779620301.060251,1779620301.0616796,frame,IDLE,5,img_000005.png,,,,,,,,,,,,,,,,,
1779620301.3685317,1779620301.3701692,frame,IDLE,6,img_000006.png,,,,,,,,,,,,,,,,,
1779620301.6739185,1779620301.7084482,frame,IDLE,7,img_000007.png,,,,,,,,,,,,,,,,,
1779620301.8982794,1779620301.8982797,connected,IDLE,,,,,,,,,,,,,,,,,,,radio://0/80/2M/E7E7E7E718
1779620301.8984332,1779620301.8984334,state_changed,TakeoffState,,,,,,,,,,,,,,,,,,,TakeoffState
1779620302.0098586,1779620302.0101607,waypoint,TakeoffState,,,,,,,,,,1.7076960802078247,-0.19738227128982544,0.8,144.97825622558594,0.2,,,,,
1779620302.0102887,1779620302.0102892,setpoint,TakeoffState,,,,,,,,,,,,,,,,,,,
1779620302.0098586,1779620302.0103543,pose,TakeoffState,,,1.7076576948165894,-0.19817601144313812,0.11506824940443039,-0.5635598301887512,0.06040773168206215,144.9772491455078,3,,,,,,,,,,
1779620302.2110624,1779620302.2113595,waypoint,TakeoffState,,,,,,,,,,1.7076960802078247,-0.19738227128982544,0.8,144.97825622558594,0.2,,,,,
1779620302.2115119,1779620302.2115123,setpoint,TakeoffState,,,,,,,,,,,,,,,,,,,
1779620302.2110624,1779620302.2115686,pose,TakeoffState,,,1.7090054750442505,-0.19793701171875,0.11426664888858795,-0.48133599758148193,0.07013159245252609,145.25811767578125,3,,,,,,,,,,
1779620302.2132902,1779620302.2152689,frame,TakeoffState,8,img_000008.png,,,,,,,,,,,,,,,,,
1779620302.2665465,1779620302.267168,waypoint,TakeoffState,,,,,,,,,,1.7076960802078247,-0.19738227128982544,0.8,144.97825622558594,0.2,,,,,
1779620302.2673056,1779620302.267306,setpoint,TakeoffState,,,,,,,,,,,,,,,,,,,
1779620302.2665465,1779620302.267361,pose,TakeoffState,,,1.7059625387191772,-0.1979869157075882,0.11516065150499344,-0.12114617973566055,-0.059902843087911606,146.99581909179688,2,,,,,,,,,,
1779620302.3076904,1779620302.307884,waypoint,TakeoffState,,,,,,,,,,1.7076960802078247,-0.19738227128982544,0.8,144.97825622558594,0.2,,,,,
1779620302.3079886,1779620302.3079894,setpoint,TakeoffState,,,,,,,,,,,,,,,,,,,
1779620302.3076904,1779620302.3080323,pose,TakeoffState,,,1.707671046257019,-0.19797515869140625,0.12433928996324539,0.4082806408405304,4.316966533660889,145.00474548339844,2,,,,,,,,,,
1779620302.4078705,1779620302.4081855,waypoint,TakeoffState,,,,,,,,,,1.7076960802078247,-0.19738227128982544,0.8,144.97825622558594,0.2,,,,,
1779620302.408347,1779620302.4083474,setpoint,TakeoffState,,,,,,,,,,,,,,,,,,,
1779620302.4078705,1779620302.4086773,pose,TakeoffState,,,1.7128509283065796,-0.20325765013694763,0.14556729793548584,1.583177089691162,2.9568116664886475,143.42755126953125,3,,,,,,,,,,
1779620302.5103462,1779620302.51053,waypoint,TakeoffState,,,,,,,,,,1.7076960802078247,-0.19738227128982544,0.8,144.97825622558594,0.2,,,,,
1779620302.5106514,1779620302.5106518,setpoint,TakeoffState,,,,,,,,,,,,,,,,,,,
