timestamp,image,x,y,z,roll,pitch,yaw
1778664176.8654244,img_000001.png,0.0,0.0,0.0,0.0,0.0,0.0
1778664177.1160507,img_000002.png,0.0,0.0,0.0,0.0,0.0,0.0
1778664177.384893,img_000003.png,0.0,0.0,0.0,0.0,0.0,0.0
1778664177.7392964,img_000004.png,0.0,0.0,0.0,0.0,0.0,0.0
1778664178.2581897,img_000005.png,-99.0359115600586,22.483943939208984,-23.17438507080078,-5.300126552581787,-6.434599876403809,14.950750350952148
1778664178.656965,img_000006.png,-0.008425169624388218,-0.005909546744078398,-0.00016150303417816758,-1.4995801448822021,1.2243523597717285,3.1220362186431885
1778664178.9039996,img_000007.png,-0.1100376546382904,-0.030946319922804832,0.0034231487661600113,-0.7260848879814148,0.5517505407333374,8.904518127441406
1778664179.0667956,img_000008.png,-0.224004328250885,-0.042448945343494415,0.003167778020724654,-0.47352924942970276,-1.160707712173462,11.91981029510498
1778664179.4767137,img_000009.png,-0.6248284578323364,-0.1345960944890976,0.0018425005255267024,7.577526092529297,1.5456432104110718,1.2750086784362793
1778664179.7772393,img_000010.png,-1.2267792224884033,-0.34142881631851196,0.010581376031041145,9.52757740020752,-1.8319650888442993,-14.037176132202148
1778664180.0880146,img_000011.png,-2.1034958362579346,-0.6831883788108826,-0.03494779393076897,9.614278793334961,-2.256669521331787,-31.415555953979492
1778664180.498262,img_000012.png,-3.612778663635254,-1.2022037506103516,-0.08559121191501617,5.595149517059326,-4.6406073570251465,-55.465484619140625
1778664180.909888,img_000013.png,-5.464289665222168,-1.7794657945632935,-0.25057482719421387,6.5646867752075195,-6.090447902679443,-73.2740707397461
1778664181.332485,img_000014.png,-7.550412654876709,-2.500844955444336,-0.42762675881385803,8.132798194885254,-7.34138822555542,-80.17112731933594
1778664181.5253172,img_000015.png,-8.591879844665527,-2.8464877605438232,-0.5227462649345398,7.34580135345459,-8.789299964904785,-79.8758773803711
1778664181.7295048,img_000016.png,-9.825249671936035,-3.2503762245178223,-0.6286187767982483,5.304064750671387,-8.625504493713379,-76.61315155029297
1778664182.143341,img_000017.png,-12.489368438720703,-4.1334028244018555,-0.9044163823127747,6.779813289642334,-6.798966884613037,-71.4136962890625
1778664182.5456984,img_000018.png,-15.357949256896973,-5.068310737609863,-1.1886883974075317,8.336052894592285,-6.93375301361084,-71.82670593261719
1778664182.7676377,img_000019.png,-17.107114791870117,-5.634414196014404,-1.3726751804351807,8.473414421081543,-8.042648315429688,-71.36077117919922
1778664183.1606393,img_000020.png,-20.265827178955078,-6.701296329498291,-1.7021642923355103,8.233654022216797,-7.453896999359131,-72.67555236816406
1778664183.5830312,img_000021.png,-23.937063217163086,-7.966311931610107,-2.0722663402557373,9.645230293273926,-7.000842571258545,-71.85256958007812
1778664183.873307,img_000022.png,-0.005367514677345753,-0.0030548039358109236,-0.003445803187787533,-0.8274050354957581,0.11621939390897751,0.6956587433815002
1778664184.1922786,img_000023.png,-0.07725592702627182,-0.0515279546380043,-0.02837703749537468,0.14171232283115387,2.991875410079956,4.425342082977295
1778664184.4015684,img_000024.png,-0.1927749365568161,-0.1149446964263916,-0.036665141582489014,2.1086618900299072,4.54358434677124,5.451838970184326
1778664184.7180812,img_000025.png,-0.46458688378334045,-0.2185421586036682,-0.0481964610517025,0.7976197600364685,3.6926116943359375,10.890787124633789
1778664188.5917192,img_000026.png,-13.918486595153809,-4.851720809936523,-1.0318299531936646,-2.069916248321533,5.518895626068115,32.535709381103516
1778664188.8974373,img_000027.png,-15.681122779846191,-5.512582302093506,-1.1637537479400635,-2.8185462951660156,5.464948654174805,32.61613464355469
1778664189.048116,img_000028.png,-16.63153076171875,-5.870937347412109,-1.2360968589782715,-2.870042324066162,5.207460403442383,32.94596862792969
1778664189.3834124,img_000029.png,-18.875398635864258,-6.7301177978515625,-1.4137181043624878,-2.128710985183716,5.4587883949279785,34.416969299316406
1778664189.7165916,img_000030.png,-21.16512680053711,-7.6163506507873535,-1.593947172164917,-1.812673807144165,6.022357940673828,38.8491325378418
1778664190.0430186,img_000031.png,-23.580284118652344,-8.549877166748047,-1.7715076208114624,-1.0183714628219604,8.011298179626465,41.76207733154297
1778664190.3934095,img_000032.png,-26.29700469970703,-9.595701217651367,-1.9674768447875977,-1.3543617725372314,6.474995136260986,45.2527961730957
1778664190.9458737,img_000033.png,-30.86684226989746,-11.366000175476074,-2.3198401927948,-2.25711989402771,6.94439172744751,49.52283477783203
1778664191.1567197,img_000034.png,-32.796058654785156,-12.127480506896973,-2.477302074432373,-1.573191523551941,5.219985008239746,51.430137634277344
1778664191.3793883,img_000035.png,-34.78386306762695,-12.924391746520996,-2.635878086090088,1.6079245805740356,1.0456411838531494,52.553550720214844
1778664191.7696729,img_000036.png,-38.43836212158203,-14.37942886352539,-2.9304697513580322,0.16315439343452454,0.8163464665412903,52.25554275512695
1778664192.0496292,img_000037.png,-41.19627380371094,-15.481454849243164,-3.1511242389678955,-3.3148324489593506,2.161640167236328,47.15416717529297
1778664192.3850744,img_000038.png,-0.003597804345190525,0.0003097092267125845,0.00014434251352213323,0.24908410012722015,1.8945740461349487,-2.9397857189178467
1778664192.7905076,img_000039.png,-0.12157770246267319,0.00022249472385738045,0.013376042246818542,-2.8492469787597656,8.659395217895508,-3.655653715133667
1778664193.204639,img_000040.png,-0.37284520268440247,0.004607138689607382,0.014918886125087738,-5.842247009277344,7.930624485015869,-4.499704837799072
1778664193.3766506,img_000041.png,-0.5242408514022827,0.014211064204573631,0.01962839439511299,-5.11343240737915,7.101816654205322,-4.449243545532227
1778664194.1970851,img_000042.png,-1.7763235569000244,-0.026026122272014618,-0.04055805504322052,-2.050605058670044,5.403847694396973,3.239593505859375
1778664194.8523173,img_000043.png,-3.415503978729248,-0.2165200114250183,-0.13910998404026031,-4.357899188995361,3.1918890476226807,16.287843704223633
1778664195.4532208,img_000044.png,-5.250678539276123,-0.3670891523361206,-0.23111239075660706,-1.9216089248657227,0.3312923014163971,24.49571418762207
1778664196.0526009,img_000045.png,-7.428775310516357,-0.5109573006629944,-0.3705230951309204,-7.74717903137207,-0.4099382162094116,36.47356414794922
1778664196.6860297,img_000046.png,-10.171546936035156,-0.5988166332244873,-0.5409915447235107,-4.682773590087891,-0.41528600454330444,40.923912048339844
1778664196.7164307,img_000047.png,-10.311979293823242,-0.6009137630462646,-0.5439803004264832,-4.526077747344971,-0.9049652218818665,40.29594039916992
1778664197.0390832,img_000048.png,-11.887614250183105,-0.6247060298919678,-0.5681555271148682,-7.030445098876953,-3.6568315029144287,37.220191955566406
1778664197.5215585,img_000049.png,-14.45297622680664,-0.644572377204895,-0.6284556984901428,-1.64247465133667,-5.128405570983887,24.471498489379883
1778664197.7013893,img_000050.png,-15.531254768371582,-0.6356542110443115,-0.6687482595443726,-0.6140457391738892,-5.110597610473633,20.15625
1778664198.114219,img_000051.png,-17.994964599609375,-0.5745876431465149,-0.8029975295066833,-1.6162298917770386,-2.2544167041778564,14.655317306518555
1778664198.5268977,img_000052.png,-20.628761291503906,-0.4869864881038666,-0.9969320297241211,0.8194675445556641,-1.4147601127624512,3.3781652450561523
1778664198.88697,img_000053.png,-23.08806037902832,-0.38552358746528625,-1.1850519180297852,0.08207213878631592,-1.2232637405395508,-5.139529228210449
1778664199.1700206,img_000054.png,-25.159128189086914,-0.3094412386417389,-1.3409749269485474,0.6823850274085999,-1.8158231973648071,-8.390958786010742
1778664199.367134,img_000055.png,-26.566049575805664,-0.2632681131362915,-1.4447057247161865,1.6449720859527588,-1.9163635969161987,-11.480415344238281
1778664199.727199,img_000056.png,-29.34737777709961,-0.21467970311641693,-1.674378752708435,3.769435167312622,0.8984866738319397,-11.755270957946777
1778664200.1631632,img_000057.png,-32.85517501831055,-0.23036956787109375,-1.9701091051101685,1.3633102178573608,0.9664958119392395,-14.117148399353027
1778664200.3682756,img_000058.png,-34.615909576416016,-0.2671421766281128,-2.12247371673584,0.08617015928030014,1.4076752662658691,-13.729170799255371
1778664200.95413,img_000059.png,-39.69668197631836,-0.39521524310112,-2.5299363136291504,-3.013732433319092,1.0538064241409302,-8.53657054901123
1778664201.606771,img_000060.png,-45.844276428222656,-0.5943151116371155,-3.002756357192993,-0.5368547439575195,2.028061628341675,2.335721969604492
1778664202.2098274,img_000061.png,-0.05286422744393349,-0.012192001566290855,-0.004915413446724415,1.084659218788147,0.2675172686576843,6.397735595703125
1778664202.9887674,img_000062.png,-0.4910685122013092,-0.11945605278015137,0.034572020173072815,-0.4622548520565033,-5.275340557098389,9.385564804077148
1778664203.3702455,img_000063.png,-0.8867590427398682,-0.07553470134735107,0.039451610296964645,-1.5357989072799683,-5.81740140914917,3.7204434871673584
