timestamp,wall_time,event,state,frame_seq,image,x,y,z,roll,pitch,yaw,waypoint_x,waypoint_y,waypoint_z,waypoint_yaw,waypoint_max_speed_mps,detected_gates,gate_widths_m,gate_reprojection_errors_px,gate_world_centers_m,message
1779187746.0591345,1779187746.0591352,run_start,IDLE,,,,,,,,,,,,,,,,,,save_dir=data/recordings/20260519_124906
1779187746.6382048,1779187746.641845,frame,IDLE,1,img_000001.png,,,,,,,,,,,,,,,,
1779187746.6390674,1779187746.6444566,frame,IDLE,2,img_000002.png,,,,,,,,,,,,,,,,
1779187747.098561,1779187747.1006603,frame,IDLE,3,img_000003.png,,,,,,,,,,,,,,,,
1779187747.4548564,1779187747.4572964,frame,IDLE,4,img_000004.png,,,,,,,,,,,,,,,,
1779187748.1049883,1779187748.1141658,frame,IDLE,5,img_000005.png,,,,,,,,,,,,,,,,
1779187748.132821,1779187748.1446629,frame,IDLE,6,img_000006.png,,,,,,,,,,,,,,,,
1779187748.2750003,1779187748.2765384,frame,IDLE,7,img_000007.png,,,,,,,,,,,,,,,,
1779187748.4655085,1779187748.465509,connected,IDLE,,,,,,,,,,,,,,,,,,radio://0/80/2M/E7E7E7E718
1779187748.5849822,1779187748.586677,pose,IDLE,,,1.741464376449585,-0.14386945962905884,0.11491622030735016,-1.2949668169021606,-0.4810338020324707,146.03277587890625,,,,,,,,,,
1779187748.686052,1779187748.6867056,pose,IDLE,,,1.7423747777938843,-0.1498560905456543,0.12819047272205353,-1.1698359251022339,-0.31554827094078064,145.99700927734375,,,,,,,,,,
1779187748.689219,1779187748.6909368,frame,IDLE,8,img_000008.png,,,,,,,,,,,,,,,,
1779187748.804097,1779187748.8041925,pose,IDLE,,,1.7430436611175537,-0.1517508327960968,0.12946566939353943,-0.959389865398407,-0.17996230721473694,146.10928344726562,,,,,,,,,,
1779187748.883418,1779187748.88353,pose,IDLE,,,1.7392277717590332,-0.15817320346832275,0.13194836676120758,-0.9370321035385132,-0.14663001894950867,146.15562438964844,,,,,,,,,,
1779187748.9797437,1779187748.9798324,pose,IDLE,,,1.795653223991394,-0.1599811166524887,0.07430525124073029,0.21773424744606018,1.5064404010772705,146.43936157226562,,,,,,,,,,
1779187749.0956612,1779187749.0986907,pose,IDLE,,,1.793430209159851,-0.15604960918426514,0.07933708280324936,0.07853870093822479,0.9476973414421082,146.3638153076172,,,,,,,,,,
1779187749.3219674,1779187749.333985,frame,IDLE,9,img_000009.png,,,,,,,,,,,,,,,,
1779187749.3347886,1779187749.3373125,frame,IDLE,10,img_000010.png,,,,,,,,,,,,,,,,
1779187749.34235,1779187749.3425379,pose,IDLE,,,1.7983216047286987,-0.14312893152236938,0.09627919644117355,0.24889522790908813,0.5035131573677063,146.2078094482422,,,,,,,,,,
1779187749.3742993,1779187749.3782547,pose,IDLE,,,1.7888370752334595,-0.1571410894393921,0.08377653360366821,-0.7231429815292358,-0.06347773969173431,146.26046752929688,,,,,,,,,,
1779187749.4513273,1779187749.451463,pose,IDLE,,,1.7952930927276611,-0.13254784047603607,0.10952533036470413,-0.09244050085544586,-0.4346753656864166,146.01443481445312,,,,,,,,,,
1779187749.536622,1779187749.5369523,pose,IDLE,,,1.7907524108886719,-0.1293431669473648,0.11807914823293686,-0.42367684841156006,-0.8194727301597595,146.0475616455078,,,,,,,,,,
1779187749.5844462,1779187749.584858,pose,IDLE,,,1.7891647815704346,-0.12705214321613312,0.11912261694669724,-0.5738877654075623,-0.8998773694038391,145.6952667236328,,,,,,,,,,
1779187749.611143,1779187749.612723,frame,IDLE,11,img_000011.png,,,,,,,,,,,,,,,,
1779187749.6791506,1779187749.6802175,pose,IDLE,,,1.7831809520721436,-0.1268463432788849,0.12013513594865799,-0.8119506239891052,-0.9544113874435425,145.74612426757812,,,,,,,,,,
1779187749.7805502,1779187749.780701,pose,IDLE,,,1.788529872894287,-0.12942209839820862,0.11610624194145203,-0.8150327205657959,-0.6966757774353027,145.7345733642578,,,,,,,,,,
1779187749.8799784,1779187749.8820257,pose,IDLE,,,1.7442067861557007,-0.15237969160079956,0.12104091048240662,-1.92931067943573,-1.1216198205947876,145.9439239501953,,,,,,,,,,
1779187749.9796977,1779187749.9798512,pose,IDLE,,,1.7423073053359985,-0.14465589821338654,0.1391906887292862,-1.1213140487670898,-0.9081658124923706,145.93283081054688,,,,,,,,,,
1779187750.0788345,1779187750.078993,pose,IDLE,,,1.7809739112854004,-0.14205653965473175,0.10491802543401718,-0.12760095298290253,0.5373029708862305,145.82386779785156,,,,,,,,,,
1779187750.1396904,1779187750.1422057,frame,IDLE,12,img_000012.png,,,,,,,,,,,,,,,,
1779187750.1790876,1779187750.179238,pose,IDLE,,,1.7916429042816162,-0.15510709583759308,0.08457772433757782,-0.5951834321022034,0.513961911201477,145.93069458007812,,,,,,,,,,
1779187750.2847247,1779187750.2849286,pose,IDLE,,,1.7920608520507812,-0.15958186984062195,0.07534472644329071,-0.772956132888794,0.04258346185088158,146.0626983642578,,,,,,,,,,
1779187750.379419,1779187750.3795514,pose,IDLE,,,1.78739595413208,-0.1564510613679886,0.08437464386224747,-0.9327278137207031,-0.15845073759555817,146.10000610351562,,,,,,,,,,
1779187750.47776,1779187750.481491,frame,IDLE,13,img_000013.png,,,,,,,,,,,,,,,,
1779187750.479997,1779187750.4817643,pose,IDLE,,,1.788280725479126,-0.15940998494625092,0.08186633139848709,-0.9999663233757019,-0.2935861349105835,146.22982788085938,,,,,,,,,,
1779187750.5779328,1779187750.578333,pose,IDLE,,,1.7882689237594604,-0.13007858395576477,0.10599872469902039,0.019958147779107094,-0.9304816126823425,145.50621032714844,,,,,,,,,,
1779187750.629745,1779187750.6317034,frame,IDLE,14,img_000014.png,,,,,,,,,,,,,,,,
1779187750.6788666,1779187750.6790366,pose,IDLE,,,1.742003083229065,-0.13511285185813904,0.11594924330711365,-1.5783418416976929,-2.2097558975219727,145.59764099121094,,,,,,,,,,
1779187750.7798374,1779187750.7799718,pose,IDLE,,,1.7417453527450562,-0.14382526278495789,0.12228254228830338,-1.6080536842346191,-1.5807242393493652,145.20716857910156,,,,,,,,,,
1779187750.878401,1779187750.878511,pose,IDLE,,,1.7351118326187134,-0.15384086966514587,0.13280461728572845,-1.520110011100769,-1.1453115940093994,145.52951049804688,,,,,,,,,,
1779187750.9371307,1779187750.9386928,frame,IDLE,15,img_000015.png,,,,,,,,,,,,,,,,
1779187746.6382048,1779187750.9419684,detection_2d,IDLE,1,,,,,,,,,,,,,2,,,,
1779187746.6382048,1779187750.9679484,gate_3d,IDLE,1,,,,,,,,,,,,,2,"[0.6300000000000003, 0.5700000000000003]","[0.3136191872051748, 0.3128903913731954]","[[-1.8605110717162487, 1.108876629679923, 1.9616341807655797], [-0.5792880819198768, 1.3069930263981706, 2.021439588651898]]",
1779187750.9807754,1779187750.9808943,pose,IDLE,,,1.7478282451629639,-0.1459047645330429,0.11719592660665512,-0.8876847624778748,-0.8640695810317993,145.4505157470703,,,,,,,,,,
1779187751.0776308,1779187751.0777986,pose,IDLE,,,1.779971957206726,-0.14203263819217682,0.107451431453228,-0.5124922394752502,-0.3849920630455017,145.8671875,,,,,,,,,,
1779187751.1775467,1779187751.177749,pose,IDLE,,,1.7881160974502563,-0.14466054737567902,0.09769979119300842,-0.39642879366874695,-0.11252009123563766,146.03634643554688,,,,,,,,,,
1779187746.6390674,1779187751.1987696,detection_2d,IDLE,2,,,,,,,,,,,,,2,,,,
1779187746.6390674,1779187751.2170901,gate_3d,IDLE,2,,,,,,,,,,,,,2,"[0.6100000000000003, 0.5500000000000003]","[0.3083494219577339, 0.339243539065752]","[[-1.8598260113671214, 1.0528967623871708, 1.944339884199374], [-0.5797917422946658, 1.2602755705481155, 2.0046371711694886]]",
